date,week,river,section,crew_1,crew_2,crew_3,recorder,weather,flow,time_in,time_out,secchi,water_temperature_in,water_temperature_out,notes
2/2/2021,1,Stanislaus,1,RK,GD,-,RK,CLD,200,815,1040,-,9.5,9.5,Very turbid
2/3/2021,1,Stanislaus,2,RK,GD,-,GD,CLD,200,804,1237,11,9.5,10,H2/H5 Partial Surveys
2/2/2021,1,Stanislaus,3,RK,GD,-,RK,CLD/Rain,200,1110,1140,-,9.5,9.5,
2/3/2021,1,Stanislaus,3,RK,GD,-,GD,PCD,200,1237,1357,13,10,10,
2/4/2021,1,Stanislaus,3,RK,GD,-,GD,CLR,200,755,1131,10+,9,9,
2/4/2021,1,Stanislaus,4,RK,GD,-,GD,CLR,200,1131,1358,9+,9,10.5,
2/8/2021,2,Stanislaus,1,RK,GD,-,RK,CLR,200,820,1025,-,9,9.5,
2/9/2021,2,Stanislaus,2,RK,GD,-,GD,CLD,250,817,1232,15,9.5,10.5,H2/H5 Partial Surveys
2/8/2021,2,Stanislaus,3,RK,GD,-,RK,CLR,200,1055,1140,-,8,8,
2/9/2021,2,Stanislaus,3,RK,GD,-,GD,CLD,250,1232,1434,15,10.5,11,
2/10/2021,2,Stanislaus,3,RK,GD,-,GD,CLR,400,755,1118,10+,10,10.5,
2/10/2021,2,Stanislaus,4,RK,GD,-,GD,CLR,400,1118,1324,11+,10.5,12,
2/16/2021,3,Stanislaus,2,RK,GD,-,GD,CLD,600,831,1148,14,9.5,10,"H2 partial suvey, H5 not surveyed"
2/16/2021,3,Stanislaus,3,RK,GD,-,GD,PCD,600,1148,1356,15,10,10.5,
2/17/2021,3,Stanislaus,3,RK,GD,-,GD,CLR/Wind,600,1340,1631,10+,10.5,11,
2/18/2021,3,Stanislaus,4,RK,GD,-,GD,PCD,600,1405,1626,12+,10.5,10.5,
2/19/2021,3,Stanislaus,1,RK,GD,-,RK,PCD,400,1405,1615,-,10,10,
2/22/2021,4,Stanislaus,1,RK,GD,-,RK,CLR,400,935,1135,-,9.5,10,
2/23/2021,4,Stanislaus,2,RK,GD,-,GD,CLR,400,755,1315,16,10,11,H2/H5 Partial Surveys
2/22/2021,4,Stanislaus,3,RK,GD,-,RK,CLR,400,1200,1250,-,11,11,
2/23/2021,4,Stanislaus,3,RK,GD,-,GD,CLR,400,1315,1440,19,11,11.5,
2/24/2021,4,Stanislaus,3,RK,GD,-,GD,CLR,400,755,1125,10+,10,10.5,
2/24/2021,4,Stanislaus,4,RK,GD,-,GD,CLR,400,1125,1325,11+,10.5,11.5,
3/1/2021,5,Stanislaus,1,RK,GD,-,RK,CLR,200,910,1145,-,10,10.5,
3/2/2021,5,Stanislaus,2,RK,GD,-,GD,CLR,200,805,1304,15+,10,11,H2/H5 Partial Surveys
3/1/2021,5,Stanislaus,3,RK,GD,-,RK,CLR,200,1205,1300,-,12,12,
3/2/2021,5,Stanislaus,3,RK,GD,-,GD,PCD,200,1304,1515,20+,11,11.5,
3/3/2021,5,Stanislaus,3,RK,GD,-,GD,CLD,200,744,1109,10+,10,10.5,
3/3/2021,5,Stanislaus,4,RK,GD,-,GD,CLD,200,1109,1314,10+,10.5,11.5,
3/8/2021,6,Stanislaus,1,RK,GD,-,RK,CLD,400,830,1120,-,10,10,
3/9/2021,6,Stanislaus,2,RK,GD,-,GD,CLD,400,758,1151,16+,10,10.5,H2/H5 Partial Surveys. Began SASU redd counts
3/8/2021,6,Stanislaus,3,RK,GD,-,RK,PCD,400,1150,1240,-,11.5,11.5,
3/9/2021,6,Stanislaus,3,RK,GD,-,GD,PCD,400,1151,1305,20+,10.5,11,
3/10/2021,6,Stanislaus,3,RK,GD,-,GD,CLD/Rain,400,740,1057,10+,10,10.5,
3/10/2021,6,Stanislaus,4,RK,GD,-,GD,CLD,400,1057,1313,11+,10.5,11.5,
3/15/2021,7,Stanislaus,1,RK,GD,-,RK,CLD/Rain,200,1215,1415,-,10,10,
3/16/2021,7,Stanislaus,2,RK,GD,-,GD,CLR,200,838,1245,18+,9.5,10.5,H2/H5 Partial Surveys
3/15/2021,7,Stanislaus,3,RK,GD,-,RK,CLD/Rain,400,1055,1135,-,10,10,
3/16/2021,7,Stanislaus,3,RK,GD,-,GD,PCD,200,1245,1439,20+,10.5,11,
3/17/2021,7,Stanislaus,3,RK,GD,-,GD,CLD,200,815,1224,10+,9.5,10.5,
3/17/2021,7,Stanislaus,4,RK,GD,-,GD,CLD,200,1224,1504,11+,10.5,12,
3/23/2021,8,Stanislaus,1,RK,GD,-,RK,CLR/Wind,200,830,1035,-,10,11,
3/24/2021,8,Stanislaus,2,RK,GD,-,GD,CLR,300,844,1313,16+,10.5,12,H2/H5 Partial Surveys
3/23/2021,8,Stanislaus,3,RK,GD,-,RK,CLR/Wind,200,1100,1140,-,11,11,
3/24/2021,8,Stanislaus,3,RK,GD,-,GD,CLR,300,1313,1528,20+,12,12.5,
