"date","week","section","method","mark_color","riffle","redd_ID","latitude","longitude","species","age","est_area_m","ambient_depth_cm","pot_length_cm","pot_width_cm","pot_depth_cm","tailspin_length_cm","tailspin_width_cm","est_pot_substrate","est_tailspin_substrate","est_ambient_substrate","ambient_velocity_ms","average_velocity","distance_cover","distance_wet_edge","distance_centerline","fish_present","fish_1_sex","fish_1_size","fish_2_sex","fish_2_size","comments"
2021-03-25,8,4,"Drift Boat","Red","Y3","PL-0317-01","37-44-39.1","120-55-15.8","PL",1," 2-4",80,"38","36","82",210,100,"5","3","4","0.68","0.665",4.2,6.6,33,"Y","U","~50",NA,NA,"First observed in week 7, measured week 8"
2021-03-25,8,4,"Drift Boat","Red","Z1","PL-0325-01","37-44-16.3","120-55-16.1","PL",1,"<1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y","M","~50","F","~40","Observed week 8, unable to measure in week 9. GPS only."
2021-04-06,10,3,"Drift Boat","Red","Q5","PL-0406-01","37-47-25.4","120-49-10.1","PL",2,"<1",58,"36","48","62",66,52,"4","6","7",NA,"0.68",2.2,4.5,10,"N",NA,NA,NA,NA,NA
2021-04-06,10,3,"Drift Boat","Red","Q5","PL-0406-02","37-47-25.3","120-49-10.0","PL",2," 1-2",62,"58/34","42/32","72/74",70,80,"3","5","7","0.98","0.88",7.1,9.4,5.1,"N",NA,NA,NA,NA,"2 pots with a shared/merged tailspill"
2021-04-06,10,3,"Drift Boat","Red","Y3","PL-0406-03","37-44-39.4","120-55-15.9","PL",1," 1-2",118,"54","46","124",94,106,"3","8","8","0.76","0.71",8.5,10.6,4.5,"Y","M","~60","F","~50",NA
2021-04-13,11,4,"Drift Boat","Red","Y2","PL-0413-01","37-44-55.9","120-55-18.8","PL",2," 1-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High flow, unable to measure"
2021-04-21,12,4,"Drift Boat","Red","X3","PL-0421-01","37-45-15.1","120-55-2.7","PL",2,"<1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High flow, unable to measure"
2021-02-02,1,1,"Hike","Orange","C2","SH-0202-01","37-50-35.0","120-38-35.3","SH",2," 2-4",NA,"93","95","8 (PD-AD)",150,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-08,2,1,"Hike","Green","C2","SH-0208-01","37-50-33.4","120-38-35.6","SH",2," 1-2",NA,"54","80","5 (PD-AD)",105,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-09,2,3,"Drift Boat","Green","M1","SH-0209-01","37-47-11.9","120-44-52.6","SH",2," 2-4",NA,"55","110","8 (PD-AD)",220,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-23,4,2,"Hike","Pink","G3","SH-0223-01","37-48-31.18","120-41-14.32","SH",2," 1-2",23,"58","71","32",137,110,"8","3.5","5",NA,"0.25",0,2.9,1.05,"N",NA,NA,NA,NA,"Distance measurements taken in side channel"
2021-03-08,6,1,"Hike","Blue","A1","SH-0308-01","37-51-40.0","120-37-59.3","SH",2," 1-2",42,"45","74","54",120,94,"5","2","7",NA,"0.75",4.6,8.7,23.8,"N",NA,NA,NA,NA,NA
2021-03-24,8,3,"Drift Boat","Orange","K4","SH-0324-01","37-47-31.8","120-43-45.9","SH",2," 1-2",40,"70","91","44",130,108,"5","3","7",NA,"0.73",2,3.2,10.1,"N",NA,NA,NA,NA,NA
2021-04-06,10,3,"Drift Boat","Green","R2","SH-0406-01","37-46-57.92","120-50-07.33","SH",2," 2-4",64,"102","82","68",240,118,"6","4","6","0.75","0.69",2.2,2.5,10.8,"N",NA,NA,NA,NA,NA
2021-04-07,10,1,"Hike","Green","A4","SH-0407-01","37-51-28.5","120-38-08.5","SH",2," 2-4",26,"80","70","32",126,116,"9","5","8",NA,"0.75",0,2.1,1.6,"N",NA,NA,NA,NA,"Measurements taken in side channel where redd was located"
2022-03-02,9,4,"Boat","Red","W3","PL-0302-01","37.76284","120.91486","PL",2,"2-Jan",90,"76","66","98",92,50,"6","3","4",NA,NA,8.1,8.9,5.7,"Y","Unknown","12",NA,NA,"Flow meter not working"
2022-03-02,9,4,"Boat","Red","X3","PL-0302-02","37.75199","120.9173","PL",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flow too high/water too deep, no measurements"
